City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Ambon,ID,76.23,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
4,Beyneu,KZ,86.27,overcast clouds,45.3167,55.2,NUR
5,Victoria,HK,85.32,clear sky,22.2855,114.1577,Mini Central
6,Roma,US,83.88,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
10,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Mahebourg,MU,69.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
12,Hobyo,SO,75.47,few clouds,5.3505,48.5268,Iftin hotel hobyo
13,Aswan,EG,87.15,clear sky,24.0934,32.907,Nuba Nile
15,Ternate,ID,80.65,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
17,Sur,OM,86.41,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
18,Daryapur,IN,77.27,overcast clouds,20.9333,77.3333,Adv Aditya Deshmukh
19,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
21,Eydhafushi,MV,82.62,light rain,5.1033,73.0708,Soneva Fushi
22,Bengkulu,ID,74.66,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
23,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
25,Atuona,PF,77.31,few clouds,-9.8,-139.0333,Villa Enata
26,Mayahi,NE,87.58,broken clouds,13.9553,7.6712,
28,Hithadhoo,MV,79.95,very heavy rain,-0.6,73.0833,Scoop Guest House
29,Namatanai,PG,82.94,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
31,Benguela,AO,67.5,broken clouds,-12.5763,13.4055,Hotel Praia Morena
33,San Quintin,MX,73.53,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
34,Kavieng,PG,82.18,light rain,-2.5744,150.7967,Nusa Island Retreat
36,Barra Do Garcas,BR,79.38,clear sky,-15.89,-52.2567,Pousada Tropical
37,Port-Cartier,CA,68.76,heavy intensity rain,50.0334,-66.8654,Le Q'Artier
38,Palu,ID,76.17,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
40,Jardim,BR,75.49,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
41,Isangel,VU,79.68,clear sky,-19.55,169.2667,Tanna Lodge
42,Amapa,BR,75.56,overcast clouds,1.0,-52.0,
43,Slave Lake,CA,71.58,clear sky,55.2834,-114.76899999999999,Super 8 by Wyndham Slave Lake AB
45,Lagoa,PT,71.74,overcast clouds,39.05,-27.9833,Casa Das Faias
48,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
52,Sao Joao Da Barra,BR,70.16,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
53,Rikitea,PF,74.1,light rain,-23.1203,-134.9692,People ThankYou
55,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
56,Edgewater,US,93.43,clear sky,28.9889,-80.9023,Islander Beach Resort
59,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
61,Nikolskoye,RU,66.79,clear sky,59.7035,30.7861,Tourist House - Sablino
62,Albany,US,90.01,few clouds,42.6001,-73.9662,
65,Kenora,CA,79.77,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
66,Hilo,US,83.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
67,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
68,Jamestown,US,82.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
71,Hamilton,US,90.09,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
73,Thompson,CA,66.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
75,Thoen,TH,74.66,overcast clouds,17.6129,99.2161,บ้านห้องนอน
77,Hasaki,JP,84.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
78,Arraial Do Cabo,BR,69.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
80,Fort-Shevchenko,KZ,76.75,broken clouds,44.5086,50.263000000000005,Oasis hotel Bautino
82,Bambous Virieux,MU,69.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
83,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
84,Tautira,PF,74.8,light rain,-17.7333,-149.15,Pension Oaoa
87,Cermik,TR,73.44,clear sky,38.1361,39.4493,Çermik Öğretmen Evi
89,Basco,PH,85.41,few clouds,20.4487,121.9702,Nathaniel's Lodge
90,Hami,CN,73.08,clear sky,42.8,93.45,Laoyutang Resort
93,Adilcevaz,TR,68.76,clear sky,38.8039,42.7342,Adilcevaz Ogretmen Evi
94,Dwarka,IN,82.54,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
95,Bethel,US,91.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
96,Kalach-Na-Donu,RU,65.79,overcast clouds,48.691,43.5264,Hotel Laguna
101,Sinnamary,GF,78.01,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
103,Tessalit,ML,88.32,broken clouds,20.1986,1.0114,
104,Kalmunai,LK,79.14,overcast clouds,7.4167,81.8167,VS Villa
105,Sinjar,IQ,84.15,clear sky,36.3209,41.8754,زوماني فون 1
108,Muisne,EC,73.58,overcast clouds,0.6,-80.0333,Quinta Samay
109,Ola,RU,71.15,overcast clouds,59.5833,151.2833,
110,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
112,Butaritari,KI,81.48,broken clouds,3.0707,172.7902,Isles Sunset Lodge
113,Mitsamiouli,KM,75.02,clear sky,-11.3847,43.2844,Foyer ADM
114,Pacific Grove,US,84.24,scattered clouds,36.6177,-121.9166,Lovers Point Inn
117,La Union,PE,75.24,scattered clouds,-5.4,-80.75,Los Portales
118,Katsuura,JP,80.62,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
120,Portland,US,88.77,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
122,Grand Gaube,MU,69.39,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
128,Tongchuan,CN,66.13,heavy intensity rain,35.0806,109.0897,Tongchuan Hotel
129,Enshi,CN,74.19,broken clouds,30.3,109.4833,Moevenpick Enshi
130,Mana,GF,78.28,few clouds,5.6592,-53.7767,LE SAMANA
131,Bambanglipuro,ID,75.2,overcast clouds,-7.95,110.2833,Puri Brata
132,Saint-Denis,FR,72.09,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
135,Avera,US,89.38,overcast clouds,33.194,-82.5271,
136,Bonnyville,CA,78.6,broken clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
139,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
140,Teonthar,IN,82.63,overcast clouds,24.9833,81.65,Mukesh Kumar Charmkar
142,Torbay,CA,68.77,broken clouds,47.6666,-52.7314,Gallows Cove
143,Ewa Beach,US,87.75,broken clouds,21.3156,-158.0072,Base Lodging
144,Ko Samui,TH,82.92,light rain,9.5357,99.9357,The Passage
145,Praia Da Vitoria,PT,73.65,few clouds,38.7333,-27.0667,Hotel Branco I
147,Pasni,PK,82.78,light rain,25.2631,63.471000000000004,Kashmiri Hotal
149,Kahului,US,84.22,broken clouds,20.8947,-156.47,Maui Seaside Hotel
151,Sakakah,SA,94.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
152,Axim,GH,73.65,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
153,Nishihara,JP,85.28,few clouds,26.1842,127.7558,Minshuku Agaihama
154,Nioro,GM,76.39,moderate rain,13.35,-15.75,
155,Abbotsford,CA,85.23,broken clouds,49.058,-122.2526,Coast Abbotsford Hotel & Suites
157,Aklavik,CA,66.2,broken clouds,68.2191,-135.0107,Aklavik Inn
160,Deutschlandsberg,AT,75.9,overcast clouds,46.8153,15.2222,JUFA Hotel Schilcherland
162,Athabasca,CA,75.61,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
163,Cayenne,GF,83.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
164,Port Hawkesbury,CA,82.35,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
165,Sayat,TM,84.07,clear sky,38.7839,63.8803,
166,Alexandria,EG,77.49,clear sky,31.2156,29.9553,Royal Crown Hotel
169,Asyut,EG,83.68,clear sky,27.180999999999997,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
170,Luwuk,ID,77.65,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
171,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
172,Norman Wells,CA,73.44,broken clouds,65.282,-126.8329,Heritage Hotel
176,Hebi,CN,76.89,overcast clouds,35.8992,114.1925,Wangfu Hotel
179,Maryville,US,86.25,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
180,Bastia,FR,81.3,clear sky,42.6667,9.3333,Hotel Santa Maria
