City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,3.44,broken clouds
1,Ambon,ID,-3.6954,128.1814,76.23,16,20,8.05,few clouds
2,Cherskiy,RU,68.75,161.3,47.28,45,99,11.86,overcast clouds
3,Dikson,RU,73.5069,80.5464,43.18,93,100,15.77,light rain
4,Beyneu,KZ,45.3167,55.2,86.27,33,91,16.17,overcast clouds
5,Victoria,HK,22.2855,114.1577,85.32,82,0,3.0,clear sky
6,Roma,US,43.2128,-75.4557,83.88,67,75,10.36,broken clouds
7,Port Alfred,ZA,-33.5906,26.891,57.18,77,0,8.39,clear sky
8,Tuatapere,NZ,-46.1333,167.6833,44.46,91,99,2.86,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,29.86,93,75,19.57,snow
10,Kapaa,US,22.0752,-159.319,84.52,70,40,16.11,scattered clouds
11,Mahebourg,MU,-20.4081,57.7,69.26,88,40,12.66,scattered clouds
12,Hobyo,SO,5.3505,48.5268,75.47,83,20,24.63,few clouds
13,Aswan,EG,24.0934,32.907,87.15,18,3,10.96,clear sky
14,Olafsvik,IS,64.8945,-23.7142,53.15,87,66,7.27,broken clouds
15,Ternate,ID,0.8,127.4,80.65,75,97,4.16,overcast clouds
16,Luderitz,NA,-26.6481,15.1594,64.18,47,0,4.72,clear sky
17,Sur,OM,22.5667,59.5289,86.41,71,86,10.69,overcast clouds
18,Daryapur,IN,20.9333,77.3333,77.27,86,99,12.62,overcast clouds
19,Yellowknife,CA,62.456,-114.3525,70.32,37,75,9.22,broken clouds
20,Castro,BR,-24.7911,-50.0119,59.68,83,57,2.64,broken clouds
21,Eydhafushi,MV,5.1033,73.0708,82.62,74,100,17.69,light rain
22,Bengkulu,ID,-3.8004,102.2655,74.66,90,82,4.88,broken clouds
23,Ponta Do Sol,PT,32.6667,-17.1,72.72,82,3,6.17,clear sky
24,Cidreira,BR,-30.1811,-50.2056,62.64,90,93,4.0,overcast clouds
25,Atuona,PF,-9.8,-139.0333,77.31,73,14,15.26,few clouds
26,Mayahi,NE,13.9553,7.6712,87.58,43,79,6.22,broken clouds
27,Coihaique,CL,-45.5752,-72.0662,31.95,86,40,3.44,scattered clouds
28,Hithadhoo,MV,-0.6,73.0833,79.95,75,100,8.03,very heavy rain
29,Namatanai,PG,-3.6667,152.4333,82.94,71,85,5.95,overcast clouds
30,Yulara,AU,-25.2406,130.9889,51.21,39,0,5.01,clear sky
31,Benguela,AO,-12.5763,13.4055,67.5,85,60,4.63,broken clouds
32,Port Lincoln,AU,-34.7333,135.8667,55.4,63,100,19.55,light rain
33,San Quintin,MX,30.4833,-115.95,73.53,68,100,13.42,overcast clouds
34,Kavieng,PG,-2.5744,150.7967,82.18,78,100,11.3,light rain
35,Saldanha,ZA,-33.0117,17.9442,46.45,81,99,10.38,overcast clouds
36,Barra Do Garcas,BR,-15.89,-52.2567,79.38,38,0,2.3,clear sky
37,Port-Cartier,CA,50.0334,-66.8654,68.76,92,100,7.25,heavy intensity rain
38,Palu,ID,-0.8917,119.8707,76.17,94,92,2.66,overcast clouds
39,Codrington,AU,-38.2667,141.9667,48.58,83,84,11.77,broken clouds
40,Jardim,BR,-21.4803,-56.1381,75.49,37,25,3.27,scattered clouds
41,Isangel,VU,-19.55,169.2667,79.68,72,3,17.31,clear sky
42,Amapa,BR,1.0,-52.0,75.56,84,90,2.77,overcast clouds
43,Slave Lake,CA,55.2834,-114.769,71.58,49,0,17.27,clear sky
44,Busselton,AU,-33.65,115.3333,58.48,79,71,9.19,broken clouds
45,Lagoa,PT,39.05,-27.9833,71.74,89,96,4.27,overcast clouds
46,Cape Town,ZA,-33.9258,18.4232,58.37,81,0,5.01,clear sky
47,East London,ZA,-33.0153,27.9116,58.82,77,2,7.54,clear sky
48,Vaini,TO,-21.2,-175.2,77.16,83,40,9.22,scattered clouds
